Note,Comment,Class
3.5,"Je vais mettre la même critique pour les deux parties des reliques de la mort, car on est face à un film qui est une entité unique séparée en deux parties. Et c'est un bon choix par rapport au prince de sang mêlé le précédent opus dont il était visible à l'écran que des pans entiers du livre avaient été supprimés. Ici l'histoire à le temps de se développer, les personnages secondaires en sont plus intéressants car on s'y attarde plus. Le film réussi à être rythmé tout le long, il est soigné d'un point de vu technique. Une bonne manière de clore la saga et d'enfin assister au véritable affrontement entre Harry Potter et son ennemi mortel.",mid
3.5,"La saga s'achève (enfin ?) avec ce film.Il était clairement temps que la franchise s'arrête, le duel Harry Potter – Voldemort commence à lasser. De plus, malgré leur jeu d'acteur (qui s'est logiquement amélioré au cours de ces dix dernières années), il commençait à être sacrément difficile pour Daniel Radcliffe, Rupert Grint et Emma Watson, âgés de 21 à 22 ans, de paraître en avoir 18 (et même 17 ans il me semble pour Harry Potter). Les autres acteurs sont bons, même si les autres acteurs jeunes (ceux interprétant par exemple les personnages de Neville Londubat, Ginny, Fred et George Weasley ou encore Draco Malefoy) ont le même problème de crédibilité en termes d'âge que les trois acteurs principaux. Comme autres performances, on peut également noter celles de Ralph Fiennes et d'Alan Rickman.Les personnages sont intéressants, celui de Severus Rogue en tête, qui, à mes yeux, est même plus intéressant que celui d'Harry Potter, on découvre toute la vérité sur lui dans ce volet. L'histoire est pas mal, même le choix de diviser le livre en deux films fait que l'intrigue se trouve dans le premier film et l'action dans le second.La musique d'Alexandre Desplat, malgré quelques passages assez épiques, est tout de même peu mémorable par rapport à la musique des premiers films Harry Potter (signée John Williams).spoiler:J'ai détesté la fin de ce film (tout comme celle du livre d'ailleurs), qui est un peu trop dans un esprit d'happy ending où tout le monde est content, tout le monde est heureux … que j'ai trouvé un peu mièvre et surtout en complet décalage par rapport aux dramatiques fins de livre auxquels J. K. Rowling nous avait habitué. De plus, le grimage des acteurs pour qu'ils paraissent plus vieux est raté, et on voit bien que les acteurs n'ont que 20 ans. Quitte à garder cette fin, il aurait peut-être été plus judicieux de prendre d'autres acteurs pour tourner cette scène.Au-delà de cette erreur, les effet spéciaux sont toujours au top. Les scènes d'actions sont très divertissantes.Même si le film n'est pas forcément mauvais, il était temps que la saga cinématographique s'achève car elle commençait à sérieusement perdre son souffle.",mid
3.0,"Et nous voilà enfin au dernier chapitre des aventures du petit sorcier à lunettes : cela fait déjà dix ans depuis le premier épisode réalisé par Chris Colombus, et pourtant je n’étais pas si impatient que ça de découvrir cet ultime volet. Déjà parce que je ne suis pas un lecteur des livres de J.K Rowling, d’autre part parce que la première partie de ce dernier opus était assez reloud et inutile ; mais surtout parce que c’est toujours Mister David Yates qui réalise et que ce type a tout simplement flingué l’énorme potentiel cinématographique de cette saga. Chez Harry Potter, il y a « avant David Yates » et « après David Yates » : et bien croyez-moi, c’était bien mieux avant ! Le film reprend directement là où il s’était arrêté, sans résumé (désolé pour tous ceux qui auraient des trous de mémoire !) et il y a déjà une chose qui surprend : au bout de presque deux minutes, nous avons déjà un plan en plein soleil. Voilà qui change de la première partie dites donc….non je déconne : si on excepte la séquence duspoiler:« paradis » avec Dumbledore, ce sera le seul passage clair du film. Et oui, malheureusement pour nous, Yates continue son sale boulot de Yes-man incompétent et, croyant avoir trouvé la touche visuelle parfaite, poursuit son utilisation ULTRA abusive de scènes trop sombres pour être lisibles. Encore un visionnage pénible pour nos rétines car cela dure presque tout le métrage, que se soit pour des séquences anecdotiques (spoiler:la discussion dans l'escalier où l'on distingue à peine les silhouettes de chacun, la descente dans les ""entrailles"" de la banque, le dialogue entre Harry et les « fantômes ») ou pour celles extrêmement importantes (spoiler:l'attaque nocturne de l'armée de Voldemort, la rencontre avec Héléna Serdaigle). Franchement Yates est un tâcheron de première : en quatre films, il n’a jamais réussi ce que Cuaron et Newel ont réussi eux en un seul !! Autre chose qui choque par rapport au film précédent, c’est le rythme. En effet, alors que dans la première partie c’était inexorablement long et ennuyeux, ici l’intrigue se retrouve sacrément accélérée et cela déconcerte : précédemment on a mis presque 2h30 à chercher et à détruire un Horcruxe, tandis qu'ici on enchaîne tout à la va-vite en moins de 2h…d’ailleurs cela se vérifie justement avec la durée du film : avec ses 2h, ""Harry Potter et les Reliques de la Mort – 2ème Partie"" est tout simplement le film le plus court de la saga ! Franchement, au lieu de partager le dernier chapitre en deux films juste pour faire encore plus de fric, peut-être aurait-il mieux valut réduire le tome entier en un seul film plus régulier, quitte à s'autoriser à dépasser la durée des 3h…Peter Jackon a fait un film de 4h pour chaque tome du ""Seigneur des Anneaux"" et rarement on s’ennuie pendant le visionnage de chacun !  Mince, même la grande bataille finale censé être LE moment le plus épique de la saga est traitée avec la même précipitation : tout va vite et on a même l’impression qu’on s’en fout royalement tant la caméra se contente de suivre notre trio principal en distance rapprochée (comme si on ne voulait pas montrer ce qui ce passe derrière eux), laissant ainsi toute la lutte entre disciples de Voldemort et élèves de Poudlard  en hors-champ (la mort de certains personnages est carrément « éclipsée » de l’écran !). En matière d’épique, on est à des années-lumière de  l’incroyable bataille Gouffre de Helm (tiens au passage : voilà une bataille entièrement de nuit et pourtant totalement lisible !!) ou de celle dantesque de Minas Tirith que nous a offert  ""Le Seigneur des Anneaux"" ! Même dans ""Matrix Revolutions"" on en avait plus pour notre argent avec la folle bataille de Zion et le combat final entre Néo et Smith !!  Mais le pire reste l’ultime climax :spoiler:LE duel Harry VS Voldemortqui dure….20 secondes…20 SECONDES !! Non mais sans déc : c’est pareil dans les bouquins ??!!!  On a bouffé 8 films et presque 19h de visionnage pour 20 secondes de merxxxde ??!!! Franchement j’ai failli hurler et pleurer dans la salle avant que la scène suivante ne m’achève complètement (spoiler:« On fait quoi Harry de cette baguette, la plus puissante du monde ? » Craaaaacckk : voilà y’a plus !!!). Non sincèrement, je suis assez frusté….bon je ne vais tout de même pas cracher sur tout le film à cause de sa fin bâclée car il y a de bonnes choses aussi : outre certains effets spéciaux vraiment superbes (spoiler:le dragon la banque Gringotts, le sort de pyromancie dans la salle sur demande, les visages déformés durant l'affrontement en plein transplanage, la voûte de protection de Poudlard et l’assaut de l’armée de Voldemort sur cette dernière), on assiste à des passages très sympathiques commespoiler:l’évasion de Gringotts ou la confrontation dans la salle sur demande…mais surtout on a droit à la meilleure séquence de toute la saga, celle despoiler:la « pensine » qui révèle à Harry les souvenir et le passé enfoui de Rogue: tous les éléments-clés de la saga sont revisités et leur « re-découverte » provoque une vive émotion car elle expose enfin tous les enjeux tragiques qui ont entourés Harry  depuis le premier film, et surtout on obtient la confirmation que le personnage le plus génial de cette saga est bien Severus Rogue. Voilà, ainsi s’achève la grande saga ""Harry Potter"". Même s’il apporte une conclusion potable à cette dernière, ""Les Reliques de la Mort – 2ème Partie""  est un film bancal qui est grandement handicapé par un final certainement pas à la hauteur des attentes épiques et par un épilogue fade, niais et inutile, se déroulement 20 ans après la défaite de Voldemort. La faute tout simplement à des producteurs peu scrupuleux et à un incompétent nommé Yates, ce qui fait de ""Harry Potter"" une saga au potentiel rarement exploité à son maximum et dont on gardera dans plusieurs années un très vague souvenir…à moins d’être un fan hardcore des romans de JK Rowling…et encore !",mid
3.0,"10 ans qui arrivent à leur terme, et avec elles l'un des projets cinématographiques les plus ambitieux qui soient. Mine de rien ça fait quelque chose et ça représente sans aucun doute pour moi le plus grand facteur de sympathie de cet ultime épisode signé David Yates, à mon grand regret. Je continue de vomir le réalisateur pour son esthétique monochrome moche et terne de jour et juste illisible de nuit qui rend un tiers de l'action de ce volet imbuvable mais pour le coup ça ne s'arrête pas là et je trouve vraiment que Yates s'est planté comme c'est pas permis sur son affrontement final, la faute à un manque d'astuce navrant en ce qui concerne l'action: primo parce que les baguettes sont restées bloquées sur leur fonction ""flingue"" depuis le septième film ce qui fait de toute confrontation un tant soit peu inventive ou toute image marquante un miracle; on retiendra ainsi le sortilège de Feudeymon assez bluffant, la robe de Voldemort qui s’agite comme des bras ou le même Voldie crachant ses tripes en pulvérisant le bouclier de Poudlard, par contre on ne retiendra pas la joute ridicule entre Mme Weasley et Bellatrix ou surtout une autre mort sur laquelle on reviendra...deuzio parce que Yates avait un décor de dingue que le public a eu tout le temps de connaitre par cœur depuis dix ans, mais ne l'utilise pas. Que ce soit la salle commune, le stade de quidditch, les dortoirs, les escaliers qui n'en font qu'à leur tête ou le saule cogneur, aucun décor connu n'est utilisé comme champ de bataille. A la place Yates sort de sa poche magique ce formidable escalier qui semble traverser le château d'un bout à l'autre et des statues de pierre qu'on n'a jamais vu mais qui feront tout le boulot. Et tercio parce que même si le personnage reste de base très charismatique (donc on l'aime quand même) et qu'il a ses morceaux de bravoure, dans l'ensemble Yates traite Voldemort n'importe comment; d'une parce que sa stratégie consiste à foncer dans le tas ce qui est toujours très décevant et de deuxspoiler:pour sa mort pitoyable de paresse d'écriture. C'est con de foirer justement la scène à ne pas foirer. Dix ans d'attente quand même.Bon, heureusement cet ultime opus ne se limite pas à son climax et à moins de pinailler je n'ai pas grand chose à redire sur le reste du film: toutespoiler:l'infiltration à Gringotts et surtout l'évasion précipitée qui s'en suitest de très bonne facture, notamment les effets spéciaux qui ont décidément fait un pas de géant depuis le début de cette saga, et l'épilogue -même si le vieillissement des acteurs ne fait pas illusion- sait toucher le fan que je suis la où il faut. Et même s'il faut faire avec une poignée de passages que je déteste comme cette scène aussi détestable que la coupe des quatre maisons dans le premier (spoiler:et vas-y que je te balance toute la graine de néo-nazis dans les cachots y compris les premières années) et que tout ce qui touche au background de Dumbledore tient plus du fan-service pour lecteurs qu'autre chose vu à quelpoint tout ça est survolé, je retiendrais avant tout l'histoire de Rogue qui, franchement, n'est pas si loin de me tirer une larme. Son univers riche et ses personnage attachant font tout le sel de cette conclusion qui sait plus que tout titiller la fibre sentimentale et qui remplit finalement son rôle, mais David Yates à la barre restera définitivement mon plus grand regret à l'égard de cette saga mythique.",mid
3.0,"Après une première partie réussie, David Yates a comme mission de terminer la saga Harry Potter avec cette seconde partie du livre final de J.K. Rowling. On retrouve donc nos trois héros, continuant à chercher et détruire les horcruxes et se rapprochant inévitablement de la confrontation visant à déterminer le sort du monde magique.Alors, encore une fois avec Yates, il y a ce problème scénaristique, à savoir ne pas pouvoir vraiment retranscrire tous les éléments du bouquin (il en manquait déjà quelques-uns dans les films précédents) et on se retrouve avec des personnages, enjeux ou objets dont plusieurs éléments importants tournant autour d'eux sont manquants (notamment le passé de plusieurs personnages). De plus, cet opus laisse un peu sur la faim concertant l'affrontement final tant attendu, notamment dû à une dimension épique pas ou peu existante, ainsi que plusieurs combats un peu bâclés et des morts si importante, notamment de personnages attachants, sur lesquels Yates ne s'arrête aucunement. On peut aussi regretter une fin un peu maladroite, mais sans grande importance non plus.Pourtant, il est loin de m'avoir déplu cet épisode final, surtout par le fait que les personnages sont toujours attachants ! Cela fait 7 ans, 7 bouquins et 8 films qu'on les suit, difficile de ne pas ressentir tout un panel d'émotion à leurs côtés surtout si, comme moi, on a grandi avec cet univers. En tout cas, ils ont bien grandi et à l'heure d'en terminer, ou non, avec Voldemort, Yates braque surtout sa caméra sur eux et la façon dont ils doivent vaincre le mal. Malgré que ce soit divisé en deux parties, j'ai toujours l'impression que c'est bien trop rapide mais bon, il fallait bien le finir cet opus et, surtout dans la première partie, Yates s'en sort pas trop mal. Le début, notamment avec le passage chez Gringotts, est vraiment palpitant, avec des enjeux forts et des scènes vraiment réussies.Pour le reste, Yates bénéficie surtout des mêmes points que pour l'ensemble de la saga. L'univers créé par Rowling est toujours riche, passionnant et même fascinant, et on s'y immerge facilement, que ce soit aux côtés des personnages ou grâce à la reconstitution réussie. C'est aussi grâce à ses personnages, tant les principaux que les secondaires (notamment Rogue), auxquels on s'intéresse et dont le destin ne peut guère laisser indifférent. Si elle est passée entre différentes mains, la partition a toujours été l'un des points forts de cette saga et c'est encore le cas ici, tout comme les interprétations. Tant Alan Rickman que Ralph Fiennes, Robbie Coltrane ou Emma Watson, les acteurs s'effacent derrière leur personnage et sont toujours impeccables.Un dernier opus forcément décevant, surtout à l'heure des ultimes affrontements mais dont il est bien difficile de ne pas ressentir quelques émotions lorsqu'il faut quitter cet univers et les personnages. J'en ai fini avec mon retour à Poudlard et, malgré quatre derniers films critiquables, ça n'en reste pas moins un réel bonheur de s'y replonger et ça me donnerait presque envie de relire les bouquins...",mid
3.0,"Le dernier film de la saga sort donc dix ans après le premier. Comme les trois films précédents, il est réalisé par David Yates.C’est donc la fin des aventures d’Harry Potter au cinéma, série de films qui aura lancé la carrière de plusieurs jeunes acteurs et marqué l’industrie du cinéma pendant dix ans.Après avoir parcouru le monde des sorciers pour trouver (et détruire) les horcruxes, Harry, Ron et Hermione sont contraints de retourner à Poudlard pour livrer une dernière bataille contre les forces du Mal.S’il avait suivi relativement fidèlement le roman pour la première partie, Yates retourne dans ses travers en passant sous silence des événements importants, comme le retour de Percy vers sa famille (alors qu’on le voit à plusieurs reprises dans la foule !)spoiler:et bien sûr, la mort de Fred (les deux événements sont liés, car Fred est le premier à pardonner à Percy). Le traitement des personnages secondaires est parfois étrange (Dean et Luna sont sensés arriver après Harry, Ron et Hermione à Poudlard, ce qui est dit dans le film, mais pour mettre en avant le trio, on voit Dean et Luna les accueillir dans la foule). A certains moments, on a droit à des moments de bravoure ridicule (la confrontation entre Rogue et Potter, le discours de Neville, etc.).Il y a un autre défaut dont je n’ai pas parlé, c’est la représentation des divers sorts : Il se ressemblent tous, seules les couleurs changent (en plus l’effet de « Reducto », ce n’est pas de faire exploser la cible, mais bien de la réduire considérablement ; c’est un sort utile contre les obstacles solides). Ce problème des sorts est commun à tous les films de Yates et aux autres d’ailleurs.Ensuite, la mort des deux principaux méchants : Bellatrix (Helena Bonham-Carter en fait toujours trop) est un peu rapide à mourir. Mais surtout, c’est celle de Voldemort qui m’a le plus dérangé : Dans le livre, il est seul face à Harry, et ils sont entourés par une foule que Voldemort ne peut pas blessée (elle est protégée par le sacrifice de Harry) et Harry lui explique beaucoup de choses, notamment à propos de Rogue, ou encore du sacrifice de sa mère. Alors que dans le film cela se fait sans témoin, et à la suite d’une course-poursuite en transplanant (!). De plus Bellatrix et Voldemort se transforment en confettis suite à leur mort (!). Bref, le spectacle est privilégié par rapport aux explications, pourtant nécessaires. Ensuite, une fois que Voldemort est tombé, on dirait que les témoins s’en moquent ; ils restent à l’écart en se faisant un thé (!).Au niveau des acteurs, leurs performances sont très bonnes, surtout celle d’Alan Rickman (en apprenant le retournement de situation qui le concerne à la fin du film, on ne peut s’empêcher de remarquer qu’il est mal à l’aise face à Harry dès la fin du sixième film).Bref, pour moi, ce film est une bonne conclusion de la saga au cinéma, mais cette conclusion aurait pu être bien meilleure.",mid
3.5,"C'est ici que s'achève la saga Harry Potter !Suite directe du précédent long-métrage, cette seconde et dernière partie des reliques de la mort vient signer la fin d'une saga fantastique mythique. Le duel tant attendu entre le bien et le mal est imminent : Harry vs Voldemort. Cependant, ce volume final fera davantage d'effet avec sa révélation concernant Severus Rogue (surprenante, bien pensée et bien amenée) que sur son fameux combat final. C'est bien cette révélation qui viendra surprendre le spectateur, prendre le pas sur le combat, et clore cette saga en beauté.On est ici bien loin du premier volet, la saga ""Harry Potter"" aura évolué crescendo dans l'obscurité au fil des épisodes. On aura apprécié cette histoire de sorciers bourrée de magie, celle résidant dans les mises en scènes, les décors, les effets-spéciaux, les photographies ou encore les musiques. L'aventure nous a conquis face à cet univers toujours plus riche d'épisode en épisode. Le fait de grandir au rythme de ces personnages auxquels nous nous sommes tant attachés durant ces huit long-métrages offrira bien entendu un charme d'ampleur à cette saga. ""Harry Potter"" a su s'imposer avec brio dans le cinéma d'aventure fantastique pour en devenir une référence du genre.",mid
3.5,"La fin d'une saga qui aura marqué le cinéma.Mais bon sang que ça fait du bien quand ça s'arrête ! Le pire épisode de tous, le plus ennuyeux, celui que j'ai le moins aimé. Peut-être avais-je trop grandi pour l'apprécier autant que les premiers. Car si il y a bien une chose que les films Harry Potter ont fait, c'est voir grandir leur public. Et avec ce film, j'y suis allé simplement pour finir la saga, mais simplement pour cette raison. J'en pouvais plus, et il était temps que ça s'arrête.Après parler du scénario, des effets spéciaux, et du casting n'aurait pas vraiment de sens, tant on connait tous la qualité de ces critères. C'est pourquoi mon avis est totalement subjectif.",mid
3.5,"""Harry Potter et les Reliques de la Mort – 2ème partie"" conclut magistralement la saga cinématographique de Harry Potter, offrant une finale épique et émouvante à une série chérie depuis une décennie. David Yates, à la barre depuis le cinquième film, continue de peaufiner son approche visuelle sombre et immersive, en apportant ici une intensité dramatique et un sens visuel qui culminent dans des batailles à couper le souffle et des moments d'émotion poignante.L'adaptation du scénario de Steve Kloves parvient à capturer l'essence du roman de J.K. Rowling, tout en insufflant une dynamique propre au cinéma. Le récit est centré sur la quête finale de Harry et ses amis pour détruire les Horcruxes de Voldemort, une mission qui les mène à des confrontations dangereuses et à des révélations surprenantes. Cette partie du récit est traitée avec une tension et une urgence qui maintiennent le spectateur en haleine, tout en rendant justice à la complexité du matériel source.Les performances sont exceptionnelles, avec Daniel Radcliffe, Rupert Grint et Emma Watson livrant leurs interprétations les plus nuancées et les plus profondes de leurs personnages respectifs, Harry, Ron et Hermione. Les acteurs secondaires, y compris Ralph Fiennes en Voldemort et Alan Rickman en Severus Rogue, apportent une gravité et une profondeur qui enrichissent le film. La performance posthume de Rickman, en particulier, est remarquable, apportant une dimension tragique et humaine au personnage de Rogue.Sur le plan technique, le film excelle également. La photographie est magnifiquement sombre et atmosphérique, créant un monde à la fois fantastique et ancré dans une réalité tangible. Les effets spéciaux sont impressionnants, en particulier lors des scènes de bataille à Poudlard, qui sont à la fois chaotiques et étonnamment lisibles. La musique d'Alexandre Desplat ajoute une couche émotionnelle supplémentaire, soutenant le récit sans jamais l'écraser.Cependant, le film n'est pas sans défauts. La décision de diviser le dernier livre en deux films peut donner l'impression que cette seconde partie est quelque peu précipitée dans son exécution, en particulier dans sa première moitié. De plus, bien que la 3D ajoute une dimension immersive, elle n'est pas toujours utilisée de manière cohérente ou nécessaire, ce qui peut parfois distraire.En somme, ""Harry Potter et les Reliques de la Mort – Partie 2"" est une fin épique et satisfaisante pour la série. Il offre une conclusion émotionnelle à l'histoire de Harry Potter, tout en se tenant comme une œuvre cinématographique impressionnante en soi. Il parvient à capturer l'esprit du matériel source tout en offrant une expérience cinématographique mémorable et visuellement époustouflante.",mid
3.0,"Cette suite et fin des aventures du jeune sorcier s'avère plus dynamique que le volet précédent, qui ne racontait pas grand chose. Les scènes d'actions sont plus nombreuses. Et l'intrigue moins confuse, malgré plusieurs gros raccourcis ou facilités.Par ailleurs, le personnage de Voldemort, bien que toujours très primaire et peu subtil, occupe davantage le devant de la scène, incarné par un Ralph Fiennes en forme. On signalera également de bons effets spéciaux et décors, et de jeunes acteurs (désormais adultes pour la plupart !) qui continuent de s'améliorer.Le scénario prend également la peine de boucler plusieurs arcs narratifs amorcés ou évacués par les films précédents. Bon, parfois cela arrive comme un cheveu sur la soupe, mais ce huitième film a la mérite de constituer une conclusion honorable à cette saga.",mid
