Note,Comment,Class
4.5,"Harry Potter et le Prisonnier d'Azkaban est encore une fois plus sombre que son prédécesseur. Cette fois, Chris Columbus laisse sa place au mexicain Alfonso Cuarón qui réussit lui aussi très bien son coup. Les acteurs d'Harry, Ron et Hermione sont encore plus doués et impressionnants à l'écran, idem pour le reste du casting. On note que Richard Harris(Dumbledore) qui est mort après le tournage du deuxième film, vas laisser sa place à Michael Gambon qui vas faire grandement évoluer le personnage car celui-ci fait plus vieux sorcier puissant, tandis que Richard Harris faisait vieux sorcier qui vas bientôt se tromper dans ses sorts quand son alzheimer vas se déclarer l'été prochain. On notera aussi l'apparition de l'excellent Gary Oldman dans le rôle de Sirius Black qui vas jouer à merveille sur plusieurs registresspoiler:(le tueur fou qu'on le croit être et le gentil parrain de Harry.Bref, l'histoire continue à nous séduire et passionne tout le public du début à la fin. John Williams compose son dernier Harry Potter et il le termine magistralement car ses musiques sont sublimes. C'est le film le moins impressionnant de la saga mais un de mes préféré que ce soit le film et le livre. Cuaron quand à lui, à un style un peu débraillé comparé à son prédécesseur qui avait des film très propres. De plus, les images ont un style bleuté qui sont à l'oppose des couleurs naturelles voire pétantes de Columbus. On passe donc d'un style noble et soigné à quelque chose d'un peu plus débraillé et bordelique. Caron impose un peu trop son style(comme le mini Bob Marley insupportable). C'est d'autant plus regrettable car il perd du temps pendant lequel il aurait pu expliquer les animagus(ce qui aurait bien rendu service aux films suivants). Mais bon, c'est pour sa que je reste un peu moqueur mais je ne dis pas débraillé pour être péjoratif. Car peu importe ce que je peut reprocher au film, il fait tout ce qui manquait aux précédents. Enfin les élèves ont l'air d'avoir une vie, enfin le réalisateur se rends compte qu'il fait un film dans une école et que les enfants même aussi bien élevé que les anglais ont une vie et s'amusent. Le film reste néanmoins excellent et il est un des meilleurs de la saga. Très bon travail!",pos
5.0,"L'une des meilleures adaptations d'un livre d'Harry Potter et mon film préféré de toute la saga. Pourquoi ? La réalisation d'Alfonso Cuaron insuffle une vraie patte artistique d'auteur, et présente ma vision de comment je voyais le monde sorcellerie d'Harry Potter. On n'est plus dans une réalisation académique des deux premiers films, même si derniers reste vraiment de qualités et sont des chefs-d’œuvre. La saga prend définitivement un nouveau chemin avec "" Le prisonnier d'Azkaban "".Le casting principal est toujours aussi convaincant. Les nouveaux personnages (Lupin, Sirius Black) sont intéressant à suivre. Michael Gambon est très bon dans cette nouvelle version de Dumbledore. Il a plus l’apparence d'un sorcier, qu'un grand magicien sage de la version précédente de Richard Harris.John Williams est toujours à la composition mais cette fois-ci, il nous livre une bande originale très émouvante et surtout intime ; qui accompagne bien les différents moments de relations entre les personnages, ainsi que les moments émouvants et spectaculaires.Un film "" qui ne nous quitte jamais vraiment, et qu'on peut toujours retrouver "" sur notre étagère une fois qu'on l'a vu.",pos
4.0,"Un très bon 3ème volet de la fabuleuse saga du jeune sorcier !L'histoire est plutôt satisfaisante et l'univers magique reste génial !Les très sympathiques Daniel Radcliffe, Rupert Grint et Emma Watson sont toujours aussi impeccables dans leur rôle et Gary Oldman qui incarne Sirius Black est très satisfaisant.Tous les autres acteurs sont encore très corrects et on découvre des créatures convaincantes et une nouvelle fois très bien élaborées comme les terribles Détraqueurs ou l'Hippogriffe ""Buck"" qui est attachant !Les images restent très bonnes et les effets spéciaux sont toujours aussi bien réalisés !Les décors sont encore formidables et des paysages sont agréables, les lieux rencontrés sont une nouvelle fois convaincants et restent bien conçus comme le charmant village de Pré-au-Lard et l’école Poudlard est toujours aussi bien faite et encore vraiment très appréciable !Les costumes sont une nouvelle fois très classe et certains acteurs sont restent très bien maquillés !Les objets sont toujours aussi convenables, la carte du Maraudeur est super et l'ambiance est encore très plaisante.Les musiques sont une nouvelle fois bien composées et le début avec la Tante Marge qui gonfle est très amusant !La séquence avec le Magicobus est très fun et la scène où Harry vole sur Buck est très belle !La partie où Harry et Hermione remontent le temps est très efficace et quand Harry repousse de nombreux Détraqueurs avec son ""Patronus"" c’est assez impressionnant !il y a un peu d’émotion et les rebondissements restent très bien maîtrisés, l’aventure est toujours aussi entraînante !Un 3ème opus donc très réussi où l'on retrouve avec plaisir les personnages de ce monde fantastique encore très bien imaginé à l'esthétisme une nouvelle fois très soigné et on apprend des petites révélations intéressantes autour des parents d'Harry...",pos
5.0,"Harry Potter et le Prisonnier d'Azkaban est sans doute le meilleur film de la saga cinématographique, tout comme le livre fut le meilleur livre de la saga littéraire.L'histoire sort du lot par rapport aux autres voletsspoiler:(c'est le seul volet où le grand méchant n'est pas Voldemort). En plus de la magie, on trouve presque dans ce film des éléments du film policier tant la traque de Sirius Black constitue un élément essentiel de la trame. Elle constitue d'ailleurs une transition intéressante entre les deux précédents voletsspoiler:(où le film s'achevait par un happy ending)et les épisodes qui suivrontspoiler:(qui eux s'achèveront par le décès de quelqu'un). La fin de ce film est pas mal du toutspoiler:, à la fois triste et heureuse (les innocents sont en libertés mais le monde ignore leur innocence).La musique de John Williams est vraiment sublime greffant de nouveaux thèmes musicaux (l'envol de Buck, la tante d'Harry) aux anciens.Les effets spéciaux sont irréprochables (à l'exception du design assez mauvais du loup-garou) permettent un divertissement de qualité sur le plan visuel.Le casting est particulièrement bon. En plus du trio Radcliffe – Watson – Grint et des habitués des anciens films (Robbie Coltrane en Hagrid, Alan Rickman en Rogue et Maggie Smith en McGonagall), on a droit à de nombreux acteurs tous plus brillants les uns que les autres : Gary Oldman et David Thewlis en tête dans les rôles de Sirius Black et de Lupin mais aussi Michael Gambon qui remplace avec brio le regretté Richard Harris dans le rôle de Dumbledore, ou encore Emma Thompson en Pr. Trewlaney.Un excellent film, le meilleur film Harry Potter (dommage qu'Alfonso Cuarón n'ait pas réalisé d'autres films de la saga).",pos
5.0,"Harry Potter et le prisonnier d’Azkaban, en plus d’être le troisième film de la saga la plus populaire de ces dernières années, est sans doute l’épisode qui marque la transition la plus certaine dans toute la saga de roman écrit par J.K Rowling.Pour rappel, les deux premiers films qui adaptent les deux premiers volumes de la saga littéraire ont été réalisés par Chris Colombus, un réalisateur spécialisé dans les films familiaux comme Maman j’ai raté l’avion, et qui avait déjà réalisé un travail exceptionnel avec les deux premiers films de la saga. Ces deux films avaient révélé plusieurs acteurs dont certains ont une carrière pleine et lancé désormais comme l’excellente Emma Watson ou Daniel Radcliffe qui tente de se détacher de son image de petit sorcier avec des films comme Horns d’Alexandre Aja. Le premier film nous avait permis de nous immerger profondément dans cet univers, le second commençait à gagner en noirceur et un peu en maturité, chacun étant très maîtrisé et les films grandissant petit à petit avec son public. Sans oublier une musique signé John Williams qui a eu le droit à une nomination aux Oscars pour le premier film.Que les films soient entièrement fidèle ou pas aux bouquins (que je n’ai pas encore lu), la communauté de fans était quand même phénoménal, et comme beaucoup j’en faisais parti et j’en suis toujours. Mais le troisième film me semble le plus intéressant à analyser parmi les premiers sorti pour deux raisons : la première, son réalisateur, Alfonso Cuaron qui mériterait plus de redevance et à qui on doit quand même deux chef d’œuvre avec Gravity et Les fils de l’homme. La seconde, ce film est une transition très clair vers une ambiance qui change très nettement comparé aux deux premiers, et nous allons voir en quoi tout de suite.La première chose qui marque un changement évident comparé aux deux précédents volets, c’est la mise en scène et en image d’Alfonso Cuaron que je pourrais presque qualifier d’impeccable et de parfait. Cuaron joue beaucoup sur les couleurs froides et les lumières ainsi que les ombres pour marquer un changement d’ambiance très différent avec les deux premiers films, là ou c’était bien plus éclairé la plupart du temps et ou les couleurs étaient bien plus chaude et visuellement accueillantes contrairement à ici.  Et le réalisateur montrait déjà qu’il savait manier la caméra et maîtriser les montages en jouant souvent sur des astuces minutieusesspoiler:comme lors du cours du professeur Lupin ou il filme, sans coupure, d’abord le miroir du placard ou est enfermé l’épouvantard en avançant jusqu’à l’intérieur du miroir pour ensuite faire un mouvement latéral après avoir montré tout les élèves présent, avant ensuite de révéler Hermione qui arrive à l’instant sans qu’on ne sache d’où jusqu’à la révélation dans le dernier tiers.Alfonso Cuaron filmera plusieurs scènes en un court plan-séquence sans coupure, sans qu’il n’y ait de vrai temps mort,spoiler:comme celle dans la grande salle ou l’on apprend que Sirius Black a été aperçu non loin de Poudlard.Il arrive même à jouer ingénieusement sur le montagespoiler:dans la dernière demi-heure lors du retour en arrière dans le temps avec Harry et Hermione, il terminera le début du retour en arrière avec un plan séquence en passant par l’horloge, et il finira de la même manière jusqu’à l’arrivée de Harry et Hermione à l’infirmerie juste au moment ou Dumbledore sort pour rendre l’effet du retour dans le temps plus vertigineux.Les mouvements de caméra ainsi que les plans sont fluides et précis, propre à la patte de Cuaron tout en restant fidèle à l’univers que l’on avait découvert dans les premiers films. Et tout cela est aidé par la photographie vraiment très net et soigné de Michael Seresin.Concernant les effets spéciaux et visuel, si on a fait mieux depuis ce film dans le domaine, l’incrustation en images de synthèse des créatures fantastiques reste tout à fait décente et maîtrisé, surtout avec un budget de 130 000 000 de $ et ce même si l’apparition reste limité pour les créatures magiques. Les détraqueurs restent très imposant et flippant à voir,spoiler:l’hippogriffe aussi, de même pour l’épouvantardet l’effet glacial lors des scènes ou apparaissent les gardiens d’Azkaban sont travaillées, même si on sent du numérique par moment on peut difficilement faire la grimace face aux effets visuels et à la direction artistique.Il sera aussi difficile de dire du mal de la bande-son de John Williams qui signait ici sa dernière collaboration avec la saga Harry Potter avant de céder sa place à Patrick Doyle au prochain film. Son travail pour les deux premiers Harry Potter reste exemplaire à mes yeux, et même si il n’arrive pas à faire aussi bien que lors des précédents films, on retient quand même plusieurs morceaux en tête notammentspoiler:le thème de Peter petit-gros. Le ton musical dans ce film est beaucoup plus médiéval et moyenâgeux au niveau de l’instrumentation mais tente aussi d’autre style comme le rythme jazzy, la musique de valse ou encore le thème d’Hagrid professeur qui assume pleinement son style de musique médiéval. Quoiqu’il en soit l’ambiance est toujours travaillée dans les sons et la recherche musicale fait par John Williams, c’est très recherché et excellemment mis en œuvre pour la presque intégralité des morceaux, donc chapeau bas monsieur Williams.Et si je commence à parler du casting, c’est sur que j’en aurais pas finis avant un moment donc accrochez vous à votre ordinateur, j’y vais : Daniel Radcliffe campait pour la troisième fois le rôle de Harry, âgé de 13 ans mais qui suit une évolution plus sombre et plus appuyé sur ce ton que dans le film précédent. Il s’en sort de mieux en mieux de film en film maintenant que je me suis replongé dans la saga, et ici il est crédible comme il se doitspoiler:quand il doit montrer sa haine grandissante à l’égard de Sirius Black une fois qu’il a découvert la vérité à son sujet,honnêtement je n’ai eu aucun problème avec lui jusque là et j’espère qu’il en sera toujours de même en revoyant les prochains films. Emma Watson, une actrice que j’apprécie énormément et que je suis de très près depuis cette saga ou d’autres films comme Noé et Le Monde de Charlie, s’affirmait clairement comme une comédienne avec un bon avenir devant elle. On pouvait lui reprocher d’en faire trop dans les deux premiers films tant son côté intello pouvait énerver certains (moi c’est justement ce côté que j’aimais chez elle parce qu’elle n’était pas unidimensionnel non plus), là elle est plus en retenue de ce côté-là sans que ça ne soit totalement délaissé, et s’améliore également et dans mes souvenirs il en était de même avec les prochains volets de Harry Potter, Cuaron arrive même à jouerspoiler:avec un petit mystère autour du personnage et ses apparitions surprises qui nous prennent au dépourvu, sans oublier un très net indice sur la future romance entre elle et Ronald Weasley,comme quoi il a pensé à l’essentiel concernant le personnage.  Rupert Grint… dont on n’entend plus trop parler après la saga (c’est un peu triste je trouve), se montre également plus convaincant, son personnage reste toujours aussi sympathique même si on ne notera pas de progression particulière,spoiler:sauf peut être concernant son rat Croutard mais ça à la limite ce n’en n’est pas vraiment une.Il est aussi important de noter qu’ici, on a le droit à un nouveau Albus Dumbledore joué ici par Michael Gambon remplaçant le regretté et ancien Albus joué par Richard Harris. Je ne sais plus si des gens avaient gueulé à ce remplacement, mais personnellement dans un cas ou dans l’autre je n’ai aucun souci avec l’acteur qui remplit largement son contrat. On apprécie toujours autant sa sagesse et sa bienveillance dans ce troisième opus. De même, on apprécie toujours retrouver Hagrid toujours aussi bien joué par Robbie Coltrane, et on adore détester le professeur Rogue campé à merveille par Alan Rickman qui commence à prendre un peu plus de profondeur icispoiler:en montrant bien plus clairement son mépris envers Harry.Maggie Smith est totalement mise en retraite ici, McGonagall ayant peu d’impact dans ce film, n’ayant pas lu le livre je ne ferais aucun jugement. En revanche, revoir Emma Thompson que j’avais adoré dans Dans l’ombre de Mary de Disney et Beaucoup de bruit pour rien de Branagh en professeur timbré, j’ai nommé Sibylle Trelawney m’a énormément fait plaisir, elle s’amuse bien et tant mieux pour nous. J’apprécie également le professeur Lupin qui est vite devenu un des personnages pour lequel j’ai le plus de sympathie dans cette saga, avec un David Thewlis très convaincant en plus, mais je retiendrais surtout l’interprétation de ce cher Gary Oldman dans le rôle duspoiler:fauxméchant de ce film, Sirius Black l’évadé d’Azkaban d’où le titre. Et évidemment, on ne cesse d’avoir du mépris et de grincer des dents quand on voit Drago Malefoy joué par Tom Felton et sa bande. En général la direction d’acteur est très bien assuré avec une galerie de personnage toujours aussi riche, je ne sais pas ce que ça donne dans les livres mais si ils sont plus exploités là encore, alors ça m’encourage à me lancer prochainement dans les bouquins de la saga.Terminons avec l’histoire et ce que raconte ce troisième volet de la saga littéraire. Et sans vouloir me répéter, je n’ai pas encore lu les bouquins donc je ne jugerais que ce que j’ai vu dans ce film et ce qui en ressort de mon point de vue, un film pouvant être bon sans pour autant être une bonne adaptation. Et si je dois accorder un bon point à Alfonso Cuaron c’est pour avoir réussi une bonne transition entre l’aspect enfantin des deux premiers films tout en reprenant la progression qu’on avait eu dans le second film. Ici, avec l’aspect médiéval ajouté par la musique de Williams et l’apparition de créature sombrespoiler:comme celle dans la grande salle ou l’on apprend que Sirius Black a été aperçu non loin de Poudlard.0la saga prend un tournant plus sombre et mature là ou les deux premiers films étaient bien plus enchanteurs et accueillant pour son public avec une vision très lumineuse de son univers, beaucoup de choses inversent cette tendance avec l’arrivée de nouveau élément plus dramatique. Cela ait aidé aussi parspoiler:comme celle dans la grande salle ou l’on apprend que Sirius Black a été aperçu non loin de Poudlard.1Certains personnages ici ont même le droit à une mise en place plus prononcé,spoiler:comme celle dans la grande salle ou l’on apprend que Sirius Black a été aperçu non loin de Poudlard.2Cuaron s’appuie même davantagespoiler:comme celle dans la grande salle ou l’on apprend que Sirius Black a été aperçu non loin de Poudlard.3Cela dit… même si Cuaron réussi énormément de choses que ça soit sur l’ambiance, les personnages et leurs relations ainsi sur la mise en scène, il y a un passage qu’il a très mal maîtrisé et m’empêche de mettre la note maximal.spoiler:comme celle dans la grande salle ou l’on apprend que Sirius Black a été aperçu non loin de Poudlard.4Donc, malgré ce gros souci et cette mauvaise gestion, il serait difficile (je trouve) de remettre en cause la réussite de ce troisième volet, c’est très bien joué et les personnages sont toujours aussi intéressant voire davantage, la dernière BO de John Williams sur la saga est splendide, la réalisation très léché et propre à la patte de Cuaron, l’histoire toujours aussi bien écrit en plus d’évoluer et l’univers conserve son charme qui fait qu’on ait grandit avec lui. C’est probablement (je dis bien probablement) le meilleur film des 8, le plus maîtrisé, pas parfait mais à mon sens c’est celui qui réussi le plus ce qu’il doit faire : mûrir avec son public après deux premiers films déjà superbe mais qui restait dans la veine du film familial plus enfantin.",pos
5.0,"Une Pure Merveille. Aprés Deux Premiers Episodes remarquables au Succés Mondiale, le réalisateur Alfonso Cuaron succède dignement a Chris Colombus en nous livrant un Troisième plus Sombre et Dramatique que ces aînées qui est considère comme l'un des favoris de la saga par la plupart des fans.Pour Commencer la Réalisation est ici d'une Virtuosité renversante avec des Plans Séquences magnifiques en disposant des Décors fabuleusement retranscrit par rapport au bouquin et qui est servi par une majestueuse BO de John Williams qui livrent des partitions musicales plus Frissonnante et Envoûtante qui collent merveilleusement au long métrage. Ensuite le Scénario est plus Dense et Passionnant en parvenant a y apporter quelques modifications astucieux par rapport au roman qui est plus complet mais qui pourrait néanmoins ne plais aux inconditionnels du roman dont le Rythme est particulièrement soutenue au cours des 2h20 de film,ajouter a cela des Scénes Mémorables qui est accompagné d'Effets Spéciaux toujours aussi Spectaculaire mais aussi des Morceaux de Bravoure sensationnelle ponctué de Scenes d'Actions stupéfiants dont l'ambiance est ici plus Noir que dans les précédants volets tout y conservant cependant quelques touches d'Humour,d'Emotion et de Poésie qui parfaitement conserver tout au long du film. Enfin le Casting est quand a lui Fabuleux dont on retrouve avec grand plaisir nos personnages favoris qui évolue de manière incroyable comme notre inséparable trio de jeunes sorciers qui gagnent énormément en maturité tout en entrant progrssivement dans l'univers des adultes qui est composer entre autres de notre jeune sorcier a lunettes Harry Potter qui voit son passé resurgir a la surface dont on peut saluer la performance sans faute de Daniel Radcliffe qui est tout simplement le choix idéal pour ce rôle tout comme les personnages phares de Ron Weasley et Hermione Granger les meilleurs amis de notre heros qui sont remarquablement jouer a nouveau par les talentueux Rupert Grint et Emma Watson dont l'alchimie entre notre trio est toujours intact, a leurs cotés  on retrouve d'autres protagonistes phares de la saga comme l'immense et sage Albus Dumbledore qui est brillamment jouer par Michael Gamblon qui succède merveilleusement au regretter Richard Harris sans oublier les inoubliables Professeur Rogue et McGonagall en passant par le géant gardien de l'école Rubeus Hagrid ainsi que les repoussants moldus les Dursley et le fourbe Drago Malefoy qui sont magnifiquement jouer par leurs interprètes respectives dont l'interprétation est sans faille sans oublier l'apparition remarquée de Nouveaux Arrivants qui font leur entrée en fanfare comme le nouveau professeur de Défense contre les Forces du Mal en la personne de l’énigmatique Remus Lupin qui est jouer avec brio par David Thewlis ainsi que l'arrivée de l’intriquante et extravagante professeur de divination Sibylle Trelawney jouer avec brio par Emma Thompson sans oublier l'arrivé fracassante du ténébreux et mystérieux evadé Sirius Black aux dessein trobules dont la performance de Gary Oldman est fantastique mais aussi l'apparition remarquée du personnage étrange de Peter Pettigrew qui est jouer sans faille par Timothy Spall dont cet intriguant protagoniste joue lui aussi un rôle ambiguë dans le passé  qui joue un rôle déterminant dans le passé de notre Sorcier et pour combler le tout les apparitions de nouvelles créatures au désgin trés réussi comme les redoutables mais aussi terrifiants gardiens de la prison d'Azkaban nommée les Détracteurs ainsi que l'adorable et imposant hippogriffe volant appelé Buck. En Conclusion, Harry Potter & Le Prisonnier D'Azkaban est une réussite total a tous les niveaux en surpassant avec panache ses deux prédécesseurs tout en s'avérant a la fois plus Sombre,Poétique,Émouvant et Impressionnant qui parvient a rester dans la parfaite continuité de la saga dont les inconditionnels de la saga tout comme les non initiés seront une fois de plus combler par cette Troisième Aventure de haut volée qui confirme au passage le talent prodigieux de Alfonso Cuaron qui est l'un des cinéastes inestimable du Septième Art et qui livre ici l'un des meilleurs volets de cette saga Mythique dont les autres Opus restants mettent la barre encore plus haut pour notre plus grand plaisir.",pos
4.5,"""Après l’excellent Harry Potter et la chambre des secrets, il aura fallu patienter un an et demi avant de découvrir au cinéma le troisième épisode de la saga : Harry Potter et le prisonnier d’Azkaban.Pour sa troisième aventure, Harry Potter va être confronté à Sirius Black qui vient de s’évader d’Azkaban dans le but, apparemment, de le tuer. Dans le même temps, une sous intrigue va nous raconter les débuts mouvementés de Hagrid comme professeur de soins aux créatures magiques.L’histoire de ce film est très intéressante, c’est, pour moi, la plus intéressante des trois premiers films. Pourquoi ? Tous simplement parce que, enfin, la saga ne présente plus son univers, mais le développe. Ce film ne sert pas à installer l’univers, il est déjà existant, il sert à lancer l’intrigue principale de la saga.Le film prend son temps pour lancer cette intrigue ce qui lui permet de bien développer les personnages déjà existants, et de bien présenter les nouveaux qui se révéleront très importants pour la suite.Cette intrigue est d’autant plus intéressante que pour la première fois dans la saga, ce n’est pas Harry qui va décider d’enquêter sur un mystère, il ne va pas courir vers le danger, c’est le danger qui va s’imposer à lui.Le deuxième point sur lequel l’intrigue change de celles des deux premiers films, c’est qu’à l’inverse de ceux-ci où à la fin tout rentre dans son état normal, au final Harry Potter et le prisonnier d’Azkaban change tout. L’univers évolue réellement, ce n’est plus le même à la fin du film, la menace est toujours présente (elle l’est même plus qu’au début) quand se termine le film.""La suite ici :",pos
4.5,"Après un deuxième épisode qui donnait l'impression de ronronner, ce troisième épisode relance superbement la saga Harry Potter. Alfonso Cuaron livre une mise en scène très soignée qui rend honneur à un scénario malin explorant plusieurs pistes tout en conservant l'aspect magique de la saga. Le film se passe aussi à une période qui n'est plus tout à fait l'enfance et pas encore l'adolescence (qui sera le cas dans l'épisode 4), qui le rend intéressant car finalement rarement traité. J'ai bien aimé le personnage du professeur Lupin, qui est une parabole évidente de l'homosexualité. Plus rythmé, il arrive aussi par moment à surprendre ce qui est finalement rarement le cas dans la série. Le meilleur de la série à mon goût et un excellent blockbuster.",pos
4.5,"«spoiler:La voix d'un enfant, aussi honnête et vraie soit-elle, n'a aucun sens pour ceux qui ont oublié comment écouter.»La touche d'Alfonso Cuarón fait de ce ""Prisonnier d'Azkaban"" l'épisode le plus abouti de la trilogie en termes de réalisation.Un style visuel qui met pleinement en valeur la richesse de la direction artistique, tout en soutenant la brillante performance de notre ""Golden Trio"", que composent Daniel Radcliffe, Emma Watson et Rupert Grint. Qui, comme leurs célèbres personnages, entrent pleinement dans l'adolescence.Alors que des éléments du passé cachés dans l'obscurité se révèlent, Harry et Hermione gagnent en perspicacité et développent leurs compétences, tandis que Ron reste principalement un personnage de soulagement comique.«spoiler:Mais vous savez, on peut trouver du bonheur même dans les endroits les plus sombres. Il suffit de se souvenir d’allumer la lumière.»4.7/5",pos
5.0,"De toutes évidences, c'est la meilleure réalisation d'un Harry Potter, pas forcément l'histoire la plus riche, mais Alfonso Cuarón a su faire basculer Harry dans un univers sombre et plus mature qui donne le ton pour la suite des aventures. D'emblée on y est, une fois l'épisode loufoque de la tante gonflée (c'est le cas de le dire), qui fait un peu la transition, on a cette scène d'attente du Magicobus, qui sera et fut vécu pour les plus jeunes comme les premiers frissonnements de l'ère Potter au cinéma. Et puis je suis quasiment sur que c'est le film qui est allé le plus loin dans la personnalisation du passage au grand écran, je pense aux transitions des saisons immortalisés par un secouement tranquille du Saule Cogneur avec les feuilles de la couleur appropriée, bien sur! C'est ça qu'on demandait! Allé plus loin que retranscrire les lignes de J.K. afin d'offrir des nouveautés visuelles au roman. L'histoire telle qu'elle est racontée dans le livre est parfaitement retranscrit à l'écran, on note le fond sonore différent qui rend ce film si à part dans la saga. On a l'arrivée d'un personnage très important dans l'univers de l'apprenti sorcier qui fait son apparition, Sirius Black. Et franchement Gary Oldman non mais j'adore, encore une fois le film offre une valeur ajoutés incroyable, cette affiche non mais vraiment, je l'adore. Elle produit parfaitement l'effet escomptée. Bon et concernant le retourneur de temps, Buck, Lupin, les détraqueurs (à ne pas confondre avec de simples épouvantards) et Hagrid en prof, il faut se remettre dedans pour la seule aventure dévoldemorisée de la saga qui est toujours aussi passionnante et exquise.",pos
